generation,N_shifts,logPrior,logLik,eventRate,acceptRate
6100,0,8.19243,2.85141,0.0129275,0.4
6200,0,8.1499,-1.72863,0.0127897,0.325
6300,0,8.17705,6.10481,0.0127897,0.323333
6400,0,8.14529,2.83174,0.00691121,0.35
6500,0,7.82312,-4.79439,0.267506,0.372
6600,0,7.82312,-8.38105,0.267506,0.381667
6700,1,14.1083,-2.44218,0.494783,0.404286
6800,1,15.7966,-3.24834,0.43864,0.4
6900,0,7.0314,-2.75322,1.11554,0.403333
7000,0,7.8971,1.23228,0.227686,0.398
7100,0,8.07698,1.61941,0.0732368,0.44
7200,0,8.04655,-0.668521,0.161123,0.4
7300,0,7.87808,0.617346,0.299528,0.38
7400,1,12.3266,-7.39023,1.29073,0.3925
7500,0,7.48118,-11.2901,0.500399,0.412
7600,0,7.43806,-9.21193,0.543525,0.418333
7700,0,6.88261,-8.16353,1.17515,0.417143
7800,0,7.57029,-6.36272,0.487472,0.42125
7900,0,7.63919,-4.62418,0.487472,0.436667
8000,0,7.97471,1.42637,0.179105,0.434
8100,0,7.87869,6.6455,0.276394,0.41
8200,1,14.177,4.16442,2.2177,0.385
8300,1,15.4763,2.06805,1.00495,0.416667
8400,2,22.063,4.82924,2.46224,0.4025
8500,0,7.72111,10.4708,0.512528,0.398
8600,0,8.01364,2.86614,0.138543,0.396667
8700,0,7.86941,-5.91276,0.165107,0.405714
8800,0,7.80888,-2.37747,0.205325,0.4125
8900,0,7.22499,-3.16366,0.789219,0.417778
9000,1,13.8877,-2.58203,0.989582,0.426
9100,0,7.53827,0.723217,0.581459,0.39
9200,0,7.45842,0.690862,0.621224,0.405
9300,0,7.24332,2.95101,0.913879,0.41
9400,0,7.27544,0.711979,0.913879,0.4075
9500,0,7.55464,0.427053,0.707522,0.37
9600,0,8.06463,3.21765,0.189398,0.361667
9700,1,14.1226,-3.41925,1.97028,0.365714
9800,1,15.2261,3.46697,0.947491,0.3775
9900,0,7.66044,3.58903,0.592424,0.376667
10000,0,7.93178,0.111385,0.291334,0.459554
10100,0,7.99279,-1.95405,0.0802724,0.48
10200,0,8.02925,-2.14359,0.0487889,0.46
10300,0,7.74718,6.75822,0.414849,0.446667
10400,0,7.76985,7.83435,0.469474,0.4325
10500,2,22.0046,10.1644,2.45542,0.432
10600,3,31.4499,0.299938,0.862298,0.42
10700,2,23.3709,4.80959,0.320504,0.421429
10800,1,15.3493,8.81116,0.701314,0.4175
10900,1,13.153,11.3473,2.99731,0.406667
11000,2,22.5727,8.96524,0.860908,0.399
11100,1,13.6832,1.01796,2.57381,0.26
11200,1,13.7677,3.66786,2.47332,0.33
11300,3,28.1953,4.58312,2.47332,0.34
11400,1,15.5721,7.9652,0.627649,0.39
11500,1,15.5061,8.80537,0.627649,0.386
11600,1,15.1773,7.71586,1.01707,0.385
11700,2,21.9491,5.68741,1.82349,0.39
11800,1,15.1923,5.74726,0.921547,0.39125
11900,2,22.2188,6.69701,0.921547,0.384444
12000,4,35.5976,0.0283975,0.941156,0.381
12100,2,22.3107,-2.08806,0.306948,0.44
12200,1,14.3575,3.46992,0.254008,0.39
12300,3,28.4754,4.10382,1.29349,0.423333
12400,0,6.86201,5.97723,1.29349,0.4075
12500,1,15.1934,2.45575,0.359701,0.412
12600,1,13.8715,1.06693,1.49592,0.415
12700,0,6.64655,0.717739,1.49592,0.421429
12800,0,7.97087,-5.7746,0.082963,0.42875
12900,0,7.88798,-0.174653,0.158882,0.427778
13000,0,7.76223,-4.35996,0.13312,0.425
13100,1,14.4032,-2.44416,1.28628,0.56
